CodePays,Taux2000,Taux2015,Taux2024,VariationAbsolue,VariationPct,BaisseAnnuelle2000_2015Pct,BaisseAnnuelle2015_2024Pct
BEN,135.0,96.1,74.7,-60.3,-44.666666666666664,2.265903083081218,2.7989913759719443
BFA,176.0,100.8,74.9,-101.1,-57.44318181818182,3.7156375960058905,3.299827390156604
CIV,140.4,85.5,64.5,-75.9,-54.05982905982907,3.3065274376599745,3.1316794682331963
GHA,99.9,52.5,35.9,-64.0,-64.06406406406407,4.289043440379532,4.223065267814944
SEN,128.9,52.2,36.5,-92.4,-71.68347556245152,6.026362767043659,3.9752248255571923
TGO,119.2,75.2,56.1,-63.1,-52.93624161073826,3.071010157836368,3.2557268714127066
